jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|kw_energy_consumption:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=kw_energy_consumption,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=kw_energy_consumption, 
1005,  1214,  completed,  eof,  2015-09-09 21:01:33,  2015-09-09 21:01:38,  5,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  10,  0.05005,  11,  14,  3,  272,  275,  0.05015,  7.34444444444,  28.1996587031, 
